,0
Avg Sentance Length,0.3459457756795962
Average Word Length,0.01316337543087967
Nouns,0.14135044583843462
Adjectives,0.07183182202737423
Coordinating Conjunction,0.03572358433624855
Cardinal Number,0.09444992973232308
Determiner,0.015149679039561686
Preposition or Subordinating Conjunction,0.08641125636238257
Adjective,0.07228107054863785
"Adjective, Comparative",0.008801434450049803
"Adjective, Superlative",0.025262782492708153
Modal,0.1721742236169815
"Noun, singular or mass",0.1261048226141142
"Noun, Plural",0.09493231562023144
Possessive Pronoun Phrase,0.11704206331647647
Adverb,0.07212799251366374
"Adverb, Comparative",0.03976334088587043
"Verb, Base Form",0.04321344396850125
"Verb, Past Tense",0.08790999579061974
"Verb, Gerund or Present Participle",0.06420148232072961
"Verb, Past Participle",0.033452953466265985
"Verb, non-3rd Person Singular Present",0.07237060913722333
Verb 3rd Person Singular Present,0.11225785113173559
Wh-determiner,0.07915370893812755
Possessive Wh-pronoun,0.023522566439297943
